Key,Range,Co,Rank,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Total PAX
NGOXMN2,NGOXMN,CX,2,35,28,63,21,29,34,50,34,40,26,38,28,16,18,17,25,14,15,14,28,36,23,32,11,3,678
HNLCAN3,HNLCAN,OZ,3,42,18,19,27,24,20,17,32,31,16,22,8,16,19,29,34,46,97,36,87,10,6,10,8,4,678
YVRCTU5,YVRCTU,MU,5,8,13,6,7,13,9,59,45,29,54,30,31,12,21,15,14,25,37,67,46,54,27,29,15,11,677
SFOWUH4,SFOWUH,CX,4,53,2,6,17,22,83,36,13,14,11,11,32,49,34,9,37,16,53,110,26,22,0,3,5,9,673
SFOFOC2,SFOFOC,CA,2,26,14,11,38,22,11,42,59,12,22,9,0,37,29,25,45,47,48,32,24,44,25,16,19,5,662
HNDSHA3,HNDSHA,CA,3,149,119,33,25,39,59,39,18,5,16,18,19,15,5,11,8,12,15,12,19,8,6,5,2,1,658
HNDTAO2,HNDTAO,KE,2,48,45,19,23,25,62,106,36,25,19,10,16,28,20,39,9,5,23,31,15,18,19,8,4,5,658
IADHGH1,IADHGH,CA,1,11,20,16,53,39,42,93,21,24,11,37,15,4,11,14,34,47,17,41,18,16,13,34,15,7,653
SFOSHE3,SFOSHE,MU,3,39,39,27,31,12,10,16,26,20,17,36,23,33,29,11,19,27,18,20,48,43,35,35,20,14,648
SYDHGH4,SYDHGH,MF,4,,,,,,,,,,,2,10,22,13,21,4,29,34,24,13,24,101,103,158,84,642
HNDFOC3,HNDFOC,MU,3,110,33,25,16,19,25,13,1,3,60,43,34,54,34,27,6,4,6,14,21,16,15,15,23,25,642
KIXCAN4,KIXCAN,OZ,4,22,35,67,13,10,7,7,11,9,1,9,9,4,4,6,5,17,47,19,9,12,38,29,142,109,641
SJCCAN1,SJCCAN,HU,1,,,,,20,54,95,32,27,11,20,25,18,13,16,21,35,48,36,28,35,26,36,24,20,640
HNLWUH1,HNLWUH,MU,1,13,51,15,10,27,54,38,33,9,21,24,17,24,21,25,18,8,22,53,28,37,13,37,33,7,638
LAXPVG13,LAXPVG,AC,13,77,18,6,23,12,18,21,11,17,2,2,32,56,10,3,20,18,57,72,12,15,20,15,23,73,633
SYDDLC3,SYDDLC,KE,3,77,29,19,23,33,40,8,42,17,37,10,17,68,21,12,10,8,36,35,11,0,7,11,46,15,632
NRTWUH4,NRTWUH,KE,4,63,38,117,127,45,26,26,40,25,0,1,14,64,9,0,0,1,2,0,14,3,2,,11,,628
HNLTAO2,HNLTAO,CA,2,16,4,6,68,53,30,18,0,31,6,24,14,29,13,40,18,32,9,14,18,58,36,22,46,21,626
SYDTAO5,SYDTAO,KE,5,72,8,6,11,15,50,30,55,18,6,3,19,83,20,11,5,0,46,18,6,7,7,4,62,61,623
IADDLC1,IADDLC,CA,1,15,18,13,59,39,43,44,45,17,5,14,15,13,8,12,30,29,41,38,18,13,23,33,26,8,619
SJCPEK2,SJCPEK,DL,2,9,8,9,14,1,9,6,4,10,9,24,14,62,22,33,19,40,117,90,36,23,7,16,26,10,618
NRTDLC4,NRTDLC,MU,4,3,17,16,18,31,8,18,43,30,18,27,19,14,18,16,23,29,16,35,50,61,64,25,12,5,616
SEACAN3,SEACAN,CZ,3,14,11,4,10,15,36,47,34,17,15,19,8,23,15,26,14,63,52,80,35,32,11,21,4,9,615
MEXPEK6,MEXPEK,CA,6,9,11,35,19,23,2,9,29,23,24,22,9,7,16,25,42,32,41,63,45,61,30,17,13,6,613
SYDFOC4,SYDFOC,MU,4,71,58,31,31,38,44,43,38,66,36,14,23,12,12,10,13,11,11,5,7,4,9,12,11,3,613
SFOFOC3,SFOFOC,MU,3,62,38,38,22,29,7,25,22,35,27,12,21,20,37,10,17,26,32,14,44,28,9,22,8,3,608
HNDFOC4,HNDFOC,KA,4,,0,90,21,17,35,21,15,2,1,7,7,4,24,32,14,50,153,67,17,4,7,4,9,6,607
SYDHGH5,SYDHGH,CA,5,7,2,4,0,2,6,7,13,1,10,18,7,15,7,22,12,16,18,123,149,14,74,32,35,12,606
ORDCTU2,ORDCTU,UA,2,4,12,23,15,56,66,112,29,11,14,21,19,17,4,22,22,32,30,31,23,14,3,9,5,5,599
SFOXMN2,SFOXMN,CA,2,14,10,15,28,53,33,23,5,7,5,5,11,17,14,19,16,19,15,47,22,45,31,60,56,26,596
HNLDLC2,HNLDLC,CA,2,34,3,42,8,35,22,39,13,19,7,31,22,23,19,42,27,35,16,16,17,29,23,26,9,38,595
KIXTAO4,KIXTAO,OZ,4,36,51,125,31,44,8,29,2,67,12,6,4,23,27,38,8,7,16,12,3,13,10,9,11,0,592
SFOSHA2,SFOSHA,CZ,2,7,1,1,3,1,30,27,25,34,6,12,8,23,2,1,8,12,92,54,92,36,9,5,71,31,591
YVRTAO5,YVRTAO,CX,5,18,28,19,18,16,10,36,21,18,8,14,20,19,14,32,34,29,60,93,14,29,16,6,10,8,590
ORDPEK5,ORDPEK,DL,5,26,7,11,36,15,12,10,23,33,22,19,21,54,37,18,9,16,85,46,24,10,9,5,32,10,590
HNLWUH2,HNLWUH,KE,2,10,1,8,50,78,26,48,46,0,,0,7,6,0,6,143,37,25,3,20,19,0,2,53,2,590
IADWUH1,IADWUH,CA,1,66,14,6,102,31,30,22,15,34,15,13,10,11,11,12,31,22,14,14,17,31,18,20,19,10,588
SEASHE1,SEASHE,KE,1,23,28,20,9,30,28,21,48,14,12,22,53,24,17,16,21,29,33,40,27,33,10,22,5,2,587
HNDPEK6,HNDPEK,OZ,6,10,15,5,39,,0,4,7,4,33,0,0,0,15,75,5,3,32,13,36,13,29,24,127,92,581
SEAPEK8,SEAPEK,CZ,8,2,9,10,4,49,208,193,54,10,5,2,2,1,3,2,2,4,6,1,2,0,0,1,7,0,577
IAHWUH1,IAHWUH,CA,1,17,14,25,28,26,33,23,43,25,13,27,13,18,46,14,45,18,26,27,15,20,19,27,4,10,576
LAXSHE5,LAXSHE,DL,5,8,0,,,,7,18,2,11,12,42,68,85,108,41,46,40,13,11,18,10,5,21,8,0,574
NGODLC3,NGODLC,KE,3,22,16,56,58,28,21,12,30,33,11,33,17,3,7,21,11,5,12,17,12,18,23,14,85,9,574
NGOTAO2,NGOTAO,KE,2,24,33,40,57,44,45,35,33,38,38,21,21,7,9,30,15,9,16,4,15,12,6,13,6,2,573
YVRXMN3,YVRXMN,CZ,3,24,32,13,21,30,74,63,29,25,8,11,12,25,30,31,23,22,39,35,4,4,1,3,1,2,562
SEAPVG7,SEAPVG,AC,7,52,16,18,22,15,22,30,7,15,6,8,12,15,7,6,26,9,48,100,26,44,10,17,19,8,558
KIXXMN3,KIXXMN,KE,3,205,111,185,0,5,0,3,0,1,1,1,0,0,,0,,1,35,0,0,0,1,4,5,,558
SFODLC2,SFODLC,KE,2,53,23,20,33,20,19,46,16,5,2,23,16,20,5,6,33,23,76,66,8,20,4,7,11,3,558
SFOPVG12,SFOPVG,CZ,12,33,11,2,0,0,22,8,10,26,34,35,27,63,12,8,19,35,73,36,28,28,7,9,27,2,555
SYDSHA4,SYDSHA,CA,4,60,24,24,20,15,37,62,23,59,6,6,10,37,8,7,8,12,7,9,31,32,17,11,15,13,553
ORDWUH1,ORDWUH,MU,1,,,,0,18,,1,,0,0,,1,0,32,28,71,35,73,96,17,30,53,36,45,17,553
SYDCAN7,SYDCAN,MU,7,5,2,1,21,26,24,8,3,15,9,6,7,11,11,8,5,12,6,26,43,30,54,135,66,15,549
SYDDLC4,SYDDLC,CX,4,25,27,28,8,19,22,10,24,25,20,21,9,20,34,8,13,14,61,18,28,56,37,9,7,5,548
YVRFOC4,YVRFOC,CZ,4,42,42,23,21,26,41,30,36,30,15,22,12,13,18,11,10,20,31,21,17,20,0,13,17,14,545
JFKPVG9,JFKPVG,CA,9,13,6,5,13,4,7,7,37,20,48,8,13,12,3,8,37,37,89,79,30,31,5,4,22,6,544
NRTDLC5,NRTDLC,OZ,5,2,11,41,8,6,6,26,25,9,2,0,2,1,3,12,46,20,51,75,48,62,15,29,33,10,543
HNDSHA4,HNDSHA,KE,4,70,40,52,42,58,83,86,21,30,6,0,4,3,2,9,0,4,4,6,2,8,0,6,0,2,538
SFODLC3,SFODLC,OZ,3,18,10,7,9,8,11,12,13,19,18,17,21,12,10,44,70,22,48,47,43,12,17,11,32,2,533
IADPEK4,IADPEK,AA,4,,,,15,62,101,50,4,16,6,9,11,13,17,8,10,50,58,51,17,20,6,3,1,1,529
JFKDLC3,JFKDLC,CZ,3,6,9,6,7,11,28,67,15,5,11,7,8,15,0,7,23,30,36,95,43,37,5,14,26,14,525
YVRCAN4,YVRCAN,MU,4,7,2,5,3,2,1,13,7,9,8,20,29,26,11,21,61,53,52,18,27,67,35,24,13,11,525
HNLWUH3,HNLWUH,CA,3,19,22,18,30,16,8,33,11,19,3,52,19,30,13,9,9,39,16,14,25,66,22,6,25,0,524
JFKTAO5,JFKTAO,CZ,5,8,3,2,3,16,31,41,5,16,10,9,12,10,6,3,23,19,15,96,59,54,3,25,28,26,523
SYDDLC5,SYDDLC,CA,5,7,17,10,19,16,17,13,29,13,19,13,5,37,7,24,29,26,20,14,5,15,56,21,52,38,522
JFKPVG10,JFKPVG,EK,10,5,6,0,23,13,123,129,35,1,1,5,4,4,0,0,15,32,34,71,6,6,0,2,2,0,517
SYDPEK13,SYDPEK,TG,13,80,12,0,1,0,23,28,1,3,1,0,67,155,16,4,8,7,29,44,9,8,3,4,2,12,517
ORDPEK6,ORDPEK,OZ,6,,,,,,,,,3,19,26,32,20,10,4,11,12,90,179,25,13,8,28,24,12,516
YVRPEK9,YVRPEK,UA,9,19,22,29,22,25,36,41,46,33,4,8,11,19,14,16,13,42,20,39,35,7,3,7,1,2,514
LAXCAN7,LAXCAN,DL,7,9,13,7,5,34,15,45,15,8,14,13,31,16,15,18,32,47,9,28,12,25,23,38,35,5,512
SFOTAO4,SFOTAO,OZ,4,22,12,7,18,16,41,33,21,8,17,3,26,32,11,11,24,18,50,65,58,4,2,2,10,,511
LAXXMN5,LAXXMN,MU,5,18,19,15,23,8,16,34,27,16,7,21,20,23,20,15,6,33,21,18,22,23,27,33,33,6,504
SFOXMN3,SFOXMN,CZ,3,5,5,7,12,21,48,61,29,22,8,24,14,16,14,12,16,20,31,55,33,17,9,17,4,1,501
JFKPVG11,JFKPVG,CI,11,1,1,4,8,1,44,57,16,8,3,11,8,1,1,3,4,5,126,176,12,2,1,5,2,0,500
SEAFOC1,SEAFOC,HU,1,17,49,13,25,41,17,34,40,26,21,21,12,9,20,11,19,20,12,23,28,9,13,13,3,3,499
IADCAN1,IADCAN,UA,1,9,20,21,25,24,21,20,16,18,11,23,26,13,17,18,38,48,9,28,40,14,5,18,11,1,494
IADPVG4,IADPVG,CA,4,6,9,8,14,38,40,77,15,33,2,12,20,8,5,19,15,22,22,47,6,21,13,17,15,7,491
JFKDLC4,JFKDLC,MU,4,14,10,21,15,9,18,40,38,13,11,23,28,50,20,7,13,11,11,23,18,19,10,24,31,12,489
MEXPVG6,MEXPVG,DL,6,0,0,2,2,0,55,25,74,32,37,17,19,20,22,21,13,21,10,14,31,7,25,12,23,,482
SFODLC4,SFODLC,MU,4,28,17,26,18,20,11,17,12,13,9,16,22,9,14,33,24,18,8,34,23,25,24,29,23,7,480
ORDTAO1,ORDTAO,OZ,1,1,,,0,0,,1,,5,35,26,31,29,25,27,35,15,50,86,22,16,17,21,23,14,479
KIXDLC3,KIXDLC,GS,3,,,,,,,,,,,,,,,,,,227,166,7,13,22,33,10,,478
HNDSHE2,HNDSHE,CA,2,4,14,10,19,9,22,11,4,10,6,26,30,33,8,13,16,18,62,94,13,20,9,9,13,2,475
SEAPVG8,SEAPVG,AA,8,5,4,6,6,3,4,8,4,2,0,6,5,13,21,16,19,59,27,66,105,66,5,13,8,3,474
IADPVG5,IADPVG,MU,5,0,1,14,15,10,17,67,17,5,5,2,12,1,11,4,6,13,33,98,32,48,20,20,21,1,473
LAXHGH6,LAXHGH,UA,6,0,,,,,,,,,1,,0,7,,,,,32,46,54,88,37,62,60,83,470
HNLSHE3,HNLSHE,MU,3,20,14,4,0,16,34,34,14,24,5,15,24,13,19,3,10,5,22,28,32,24,36,41,26,6,469
HNLCTU3,HNLCTU,OZ,3,2,12,22,55,54,30,11,13,39,0,4,25,13,17,0,55,88,7,0,,22,,,,0,469
SEATAO1,SEATAO,OZ,1,5,7,6,12,8,18,40,30,13,14,18,15,17,14,21,6,28,29,51,30,7,10,8,61,1,469
SYDSHE5,SYDSHE,MF,5,,,,,,,,,,,29,24,18,32,30,21,24,28,31,29,50,49,28,39,35,467
SFOPVG13,SFOPVG,CA,13,13,13,13,25,35,40,29,10,15,11,10,22,10,15,13,7,10,32,34,11,17,9,12,32,17,455
SEATAO2,SEATAO,KE,2,30,5,3,16,10,21,44,45,21,6,17,13,17,6,10,18,14,48,59,17,16,6,1,11,1,455
HNLCAN4,HNLCAN,KE,4,40,55,14,14,16,29,18,56,25,13,7,11,23,11,6,16,0,11,37,29,2,0,7,6,0,446
IADFOC1,IADFOC,CA,1,8,11,4,18,30,28,63,16,12,30,6,15,6,5,5,42,19,23,14,17,44,10,13,3,3,445
MEXCAN2,MEXCAN,AF,2,10,9,14,17,16,68,44,15,8,17,9,15,7,23,8,5,30,17,33,26,23,12,11,2,2,441
ORDPVG7,ORDPVG,KE,7,1,1,2,18,318,29,14,1,8,1,6,2,3,3,0,4,1,14,2,4,2,1,2,,1,438
KIXXMN4,KIXXMN,MU,4,67,71,35,29,8,5,6,19,14,7,11,10,8,4,12,15,6,1,2,19,19,24,23,10,12,437
JFKPEK9,JFKPEK,PS,9,,,,2,1,50,116,3,1,0,0,8,2,,3,0,1,84,159,2,,,,2,,434
SYDPVG11,SYDPVG,OZ,11,58,1,0,1,6,25,8,51,5,3,1,3,52,0,0,,1,8,3,8,0,1,2,157,36,430
IADCAN2,IADCAN,CA,2,0,10,2,9,10,25,17,6,9,7,7,10,4,5,12,26,32,24,33,27,57,23,48,19,6,428
NRTWUH5,NRTWUH,CA,5,115,46,75,32,34,31,26,21,11,,2,0,9,2,1,,0,2,1,2,8,1,6,3,0,428
SEAPEK9,SEAPEK,OZ,9,2,,1,3,3,45,66,14,5,11,11,16,21,2,1,12,2,49,86,55,,1,,22,0,428
NGOSHE3,NGOSHE,KE,3,12,12,27,29,24,10,7,33,13,16,17,42,19,20,15,13,12,4,7,27,20,9,11,15,9,423
IADCAN3,IADCAN,CZ,3,2,3,7,16,16,20,48,24,12,12,12,14,8,15,12,24,12,20,34,25,26,27,15,12,3,419
SJCPVG2,SJCPVG,DL,2,18,13,4,13,23,9,17,16,23,9,14,25,26,22,28,22,15,17,18,17,20,17,12,11,5,414
HNLHGH1,HNLHGH,CA,1,6,11,4,31,17,5,41,12,1,18,19,37,46,2,2,8,4,4,10,25,29,4,10,31,36,413
HNLPVG6,HNLPVG,CA,6,44,19,3,5,8,11,24,12,13,5,15,9,64,10,21,13,4,8,7,15,38,3,27,17,16,411
HNDXMN2,HNDXMN,KE,2,76,91,31,7,22,41,48,18,5,3,17,8,1,5,2,4,8,1,6,0,6,,1,1,8,410
SEADLC2,SEADLC,HU,2,9,33,11,18,27,33,29,28,15,7,10,13,16,19,21,24,25,6,10,9,18,1,8,5,14,409
SYDPEK14,SYDPEK,MH,14,76,62,42,24,15,35,9,5,1,1,1,21,48,3,2,1,1,32,12,14,2,,,0,,407
YVRHGH4,YVRHGH,CZ,4,18,7,4,6,22,26,23,15,49,13,8,3,10,7,9,9,4,30,21,15,29,7,28,25,16,404
IAHPEK5,IAHPEK,DL,5,18,5,12,95,18,15,5,24,15,9,11,23,22,26,30,18,1,13,9,5,14,1,7,4,4,404
JFKCTU6,JFKCTU,UA,6,16,22,11,43,40,98,84,47,41,0,,0,,,,0,,,2,,,,,,,404
LAXPEK12,LAXPEK,PR,12,1,2,,0,0,,38,1,0,0,0,4,0,0,,,2,92,206,15,0,0,0,38,,399
SYDSHE6,SYDSHE,QF,6,45,56,20,18,13,20,39,17,44,9,9,16,9,7,17,6,12,9,5,8,6,2,2,1,0,390
IAHFOC1,IAHFOC,CA,1,5,17,11,12,30,17,24,10,12,11,17,11,11,22,12,10,11,25,23,23,34,9,14,11,7,389
SYDXMN4,SYDXMN,MH,4,35,18,5,8,3,25,36,6,4,5,,3,71,1,,,5,29,24,10,7,1,,65,27,388
ORDTAO2,ORDTAO,MU,2,,0,,,,,,,,,,,,9,40,48,45,53,47,23,37,20,38,20,7,387
YVRPVG6,YVRPVG,UA,6,28,6,15,6,20,15,21,28,5,2,4,14,20,1,10,19,29,13,39,46,12,23,2,6,2,386
YVRTAO6,YVRTAO,CZ,6,32,21,2,7,5,19,29,10,7,7,7,7,11,14,10,5,16,37,50,19,19,10,21,11,7,383
SEACAN4,SEACAN,DL,4,17,4,9,10,13,7,4,9,4,9,19,9,30,22,18,12,5,6,6,45,32,18,25,39,11,383
NRTHGH1,NRTHGH,CX,1,29,20,31,7,45,25,9,5,3,10,4,9,4,6,6,4,17,15,23,26,58,6,6,10,3,381
SYDHGH6,SYDHGH,QF,6,12,17,14,8,5,4,0,9,8,8,5,0,19,17,13,5,19,23,18,15,24,8,25,43,62,381
ORDCAN4,ORDCAN,CZ,4,1,9,8,8,9,15,26,13,22,5,8,10,2,43,45,36,11,11,24,33,15,13,13,0,,380
HNDXMN3,HNDXMN,KA,3,,4,34,7,14,13,24,2,25,0,1,9,24,15,26,16,10,46,44,12,14,,1,35,2,378
LAXCTU7,LAXCTU,OZ,7,10,16,1,3,3,15,48,30,10,3,8,6,28,2,4,10,38,47,46,10,6,1,15,12,3,375
ORDPEK7,ORDPEK,MU,7,,,,,,,,,,,,,,5,8,20,8,59,45,20,47,27,57,39,38,373
SYDWUH4,SYDWUH,CA,4,7,5,5,3,4,4,22,9,2,6,10,10,7,7,3,43,16,29,40,22,18,31,28,15,25,371
YVRXMN4,YVRXMN,MU,4,30,17,17,9,15,22,32,20,16,8,25,21,41,19,4,19,8,24,11,3,2,3,3,0,1,370
YVRDLC4,YVRDLC,CZ,4,15,14,10,12,21,13,24,14,19,11,4,6,13,12,16,12,6,22,18,7,4,5,18,43,30,369
JFKPVG12,JFKPVG,BR,12,0,4,4,6,12,80,84,18,7,5,2,7,11,10,8,11,14,18,14,16,7,4,19,5,1,367
SFOTAO5,SFOTAO,CX,5,32,3,0,3,0,9,9,3,7,10,24,19,24,6,20,20,38,41,33,34,7,9,10,2,2,365
SYDCTU6,SYDCTU,MF,6,,,,,,,,,,,4,6,27,13,9,5,6,13,9,21,17,83,80,34,37,364
MEXPVG7,MEXPVG,MU,7,7,4,11,3,6,14,19,17,32,12,12,10,7,5,53,11,7,9,17,31,15,40,14,5,1,362
SFOCAN5,SFOCAN,UA,5,5,4,3,17,16,1,4,3,0,3,16,43,32,3,5,26,55,25,29,26,14,5,6,9,6,356
KIXCAN5,KIXCAN,MU,5,17,16,11,4,6,14,13,1,18,11,13,5,42,12,5,8,13,7,8,25,25,45,17,15,1,352
SYDXMN5,SYDXMN,SQ,5,68,16,9,7,7,57,8,17,25,3,1,3,22,1,11,2,2,26,11,13,7,5,,19,12,352
MEXPEK7,MEXPEK,AM,7,12,16,5,17,10,9,8,8,19,18,58,20,3,10,5,13,3,8,5,12,20,21,36,9,0,345
YVRPVG7,YVRPVG,CI,7,2,6,0,0,19,39,80,27,2,0,3,1,2,0,3,2,10,49,83,12,3,0,2,0,,345
HNDTAO3,HNDTAO,MU,3,9,9,16,15,4,6,3,8,7,12,16,17,11,5,19,13,17,19,23,18,29,37,23,7,2,345
IADCAN4,IADCAN,QR,4,4,2,0,8,1,30,34,3,3,1,2,6,4,0,0,5,5,58,103,22,6,4,9,27,7,344
SFOCAN6,SFOCAN,OZ,6,11,18,15,20,13,4,7,4,7,5,27,9,14,6,1,13,17,31,58,19,16,2,7,8,11,343
SYDWUH5,SYDWUH,MF,5,,,,,,,,,,,24,2,6,17,28,22,29,34,24,19,57,31,14,22,11,340
HNLFOC1,HNLFOC,MU,1,17,23,5,34,16,22,18,7,15,9,14,19,10,17,0,1,1,7,22,1,10,18,35,17,2,340
NGOTAO3,NGOTAO,OZ,3,27,24,17,15,18,37,17,16,15,11,2,12,7,11,4,7,8,27,15,23,14,3,8,2,0,340
IAHCAN2,IAHCAN,UA,2,1,8,4,8,4,2,3,3,2,2,3,3,3,3,1,5,10,5,9,14,12,20,16,181,18,340
LAXPEK13,LAXPEK,HA,13,13,5,19,12,12,25,21,30,16,6,12,28,26,2,2,10,16,34,21,4,6,6,5,5,2,338
SYDCAN8,SYDCAN,CA,8,0,,1,0,,2,0,1,0,4,12,13,8,3,6,20,8,43,13,43,39,79,14,14,14,337
SJCCTU1,SJCCTU,HU,1,,,,,8,21,47,25,18,2,11,19,8,12,6,17,23,38,22,13,15,12,7,11,2,337
JFKPEK10,JFKPEK,UN,10,71,38,11,46,21,23,57,38,26,4,2,0,0,,,,,,,,,,,,,337
SFOCTU6,SFOCTU,OZ,6,15,9,1,4,0,20,7,16,15,2,3,0,12,0,0,10,16,48,120,22,3,,3,0,10,336
YVRCTU6,YVRCTU,AC,6,7,5,2,8,4,5,6,3,12,19,5,18,52,24,53,5,2,11,38,18,11,2,11,7,3,331
SEAPVG9,SEAPVG,BR,9,2,3,12,11,16,59,100,16,1,7,3,1,3,6,10,3,7,13,28,5,4,1,9,10,1,331
KIXDLC4,KIXDLC,MU,4,11,11,24,19,6,5,14,19,7,12,1,14,10,9,2,2,5,8,20,28,18,40,37,8,1,331
SYDTAO6,SYDTAO,MF,6,,,,,,,,,,,11,4,11,13,18,18,27,29,29,14,27,50,40,23,16,330
YVRPEK10,YVRPEK,MF,10,,,,,,,,,,,,,,,,,,16,124,59,52,29,21,16,9,326
SEACTU2,SEACTU,UA,2,17,10,2,4,51,34,24,18,3,6,3,3,15,9,10,13,12,12,27,10,13,8,4,10,7,325
ORDSHE1,ORDSHE,MU,1,,,,,,,,,,,,,,12,18,50,23,8,47,55,42,16,28,14,11,324
KIXWUH2,KIXWUH,CX,2,9,15,15,26,7,18,14,5,50,4,7,23,6,2,0,2,29,13,14,26,37,0,0,1,,323
YVRXMN5,YVRXMN,CA,5,10,5,13,16,28,22,27,23,13,9,12,17,19,10,12,5,12,34,18,3,5,5,,3,1,322
JFKXMN5,JFKXMN,MU,5,16,8,31,19,14,4,15,9,20,6,16,17,12,17,15,14,6,11,11,2,7,9,24,17,2,322
NRTTAO5,NRTTAO,SC,5,24,13,17,2,4,2,20,6,9,25,40,2,28,10,3,11,9,5,5,9,46,15,16,1,,322
HNDSHE3,HNDSHE,MU,3,2,5,,,,1,5,,5,15,13,14,22,13,13,19,9,18,46,22,29,22,26,21,1,321
HNDPVG4,HNDPVG,CA,4,1,2,2,1,0,0,,2,0,8,11,12,53,13,8,12,12,34,27,69,27,9,16,1,,320
JFKSHA3,JFKSHA,CX,3,20,12,4,9,4,3,3,10,1,3,4,1,11,8,8,10,17,69,54,22,10,5,5,19,7,319
KIXPVG6,KIXPVG,KE,6,90,15,35,7,55,31,15,12,10,1,3,1,27,8,1,0,,0,3,1,0,0,1,3,0,319
NRTSHE4,NRTSHE,CA,4,65,45,15,28,30,28,9,11,13,2,15,9,13,1,6,4,,3,7,10,0,0,4,,0,318
YVRCAN5,YVRCAN,KE,5,7,3,0,3,8,26,82,26,8,,0,0,1,2,3,12,4,12,66,51,3,,0,1,,318
SFOHGH4,SFOHGH,CZ,4,3,1,,,4,55,39,22,15,12,9,7,19,5,2,4,9,36,26,9,7,0,8,14,10,316
SEADLC3,SEADLC,OZ,3,4,3,13,4,5,6,18,16,6,9,7,17,4,11,10,21,11,20,40,27,6,6,13,18,21,316
NRTPVG5,NRTPVG,OZ,5,4,11,26,36,15,17,7,3,3,0,5,3,1,1,1,1,7,9,24,8,9,10,6,76,32,315
SYDDLC6,SYDDLC,MF,6,,,,,,,,,,,8,13,7,24,13,9,17,19,21,20,30,37,23,44,29,314
ORDDLC1,ORDDLC,OZ,1,0,0,0,2,4,,2,,3,8,17,21,6,19,12,18,14,39,68,10,30,15,13,5,5,311
JFKCTU7,JFKCTU,EY,7,7,0,3,1,4,13,53,3,2,,1,2,,,3,,14,37,134,8,3,0,,21,,309
JFKPEK11,JFKPEK,LX,11,1,,1,25,37,11,24,17,0,0,15,64,1,0,,24,18,5,28,3,3,2,6,19,5,309
ORDCAN5,ORDCAN,UA,5,6,46,5,6,19,5,18,16,6,11,8,14,2,36,8,27,22,4,15,8,17,4,4,1,,308
ORDCAN6,ORDCAN,MU,6,,,,,0,,,,,,,,,2,25,26,25,14,41,22,39,22,43,35,13,307
YVRSHA3,YVRSHA,MF,3,,,,,,,,,,,,,,,,,,4,83,72,68,21,26,15,16,305
ORDCTU3,ORDCTU,MU,3,,,,,,,2,,0,,,,,5,32,27,49,25,33,7,38,15,28,34,8,303
SEAPVG10,SEAPVG,CZ,10,7,14,24,19,10,133,61,16,1,1,3,0,0,1,0,1,1,2,0,2,,,3,2,,301
MEXPVG8,MEXPVG,AC,8,19,1,4,10,2,7,3,5,14,13,8,14,10,5,8,12,12,31,17,18,12,20,15,19,21,300
SYDCAN9,SYDCAN,3U,9,11,15,23,14,6,26,13,20,11,12,11,7,0,2,3,4,10,10,0,13,19,27,20,17,5,299
SEAWUH1,SEAWUH,DL,1,9,6,1,3,12,0,7,3,2,7,14,26,27,21,6,5,10,4,14,25,26,24,18,16,11,297
JFKCTU8,JFKCTU,QR,8,0,0,0,0,0,6,28,1,0,,3,8,1,,4,9,10,45,104,20,2,18,10,28,0,297
JFKCAN7,JFKCAN,QR,7,36,7,7,3,2,19,53,2,4,0,2,1,4,3,1,6,1,51,51,11,2,1,7,20,2,296
YVRSHE3,YVRSHE,KE,3,6,13,3,5,21,10,15,50,10,2,2,9,7,12,10,5,0,5,42,28,5,0,12,18,3,293
HNLDLC3,HNLDLC,MU,3,18,12,18,3,3,34,11,4,13,15,11,10,9,12,12,6,7,13,22,24,19,7,6,3,0,292
NRTXMN4,NRTXMN,MU,4,47,27,13,12,17,16,11,7,7,7,10,1,13,6,12,1,26,5,0,8,17,11,17,1,,292
NRTXMN5,NRTXMN,CA,5,78,50,43,13,14,5,15,9,3,1,6,7,1,2,1,1,7,15,6,6,2,,,4,,289
NRTCAN4,NRTCAN,MU,4,15,14,9,8,2,7,8,12,13,12,11,3,25,5,8,30,11,14,5,14,27,10,22,1,1,287
HNDDLC1,HNDDLC,KE,1,0,10,29,10,10,57,45,9,19,5,4,12,4,4,17,7,,0,14,7,10,3,6,4,,286
ORDDLC2,ORDDLC,HU,2,1,2,2,35,44,17,29,21,6,0,2,0,,3,1,31,12,21,21,22,4,2,2,2,5,285
IAHPVG4,IAHPVG,CA,4,11,7,7,6,18,36,11,9,17,4,12,9,2,7,9,15,6,30,30,9,7,1,10,3,8,284
HNDTAO4,HNDTAO,GS,4,,,,,,,,1,,,8,9,12,25,12,31,14,15,15,29,53,30,24,5,1,284
IADPVG6,IADPVG,KE,6,17,4,0,13,2,69,18,16,4,2,13,12,7,1,2,3,16,30,29,4,3,2,4,3,9,283
LAXSHE6,LAXSHE,UA,6,,,,,,,0,2,,3,6,11,43,10,11,13,18,14,0,9,47,23,16,31,23,280
HNDCAN2,HNDCAN,CX,2,27,31,11,20,9,10,10,1,7,3,1,6,7,1,3,11,13,8,5,7,13,5,14,36,19,278
NRTPEK6,NRTPEK,OZ,6,15,23,5,5,9,12,3,2,7,3,2,1,1,6,1,6,2,46,26,6,16,5,10,38,28,278
